name,price,quantity,brand,category,entry_date
Relate Detail,371.17,67,Umbrella,Books,2024-12-13
Beyond Right,52.17,21,Soylent,Books,2025-04-12
Different Ability,32.0,25,Initech,Clothing,2024-07-23
Their Less,414.64,20,Initech,Electronics,2024-12-07
Space Police,111.36,47,Umbrella,Home,2025-05-29
Bank Hair,384.67,81,Initech,Books,2024-10-07
Seem South,72.39,73,Soylent,Home,2024-12-14
Moment Employee,379.85,60,Soylent,Clothing,2025-04-17
Will Such,14.79,44,Initech,Electronics,2025-01-06
Skin Relate,203.29,32,Initech,Clothing,2025-01-06
Return Evidence,48.39,67,Umbrella,Home,2024-11-07
Low Benefit,108.52,70,Initech,Clothing,2025-02-25
Soon Step,399.92,27,Globex,Clothing,2025-02-24
Heart Size,438.89,56,Umbrella,Electronics,2025-03-12
Be About,439.71,42,Globex,Clothing,2025-04-30
Direction Environment,128.74,11,Soylent,Toys,2024-12-25
Scientist Green,194.7,64,Acme,Clothing,2024-11-20
Play Soldier,416.34,93,Umbrella,Clothing,2024-07-29
Part Develop,261.94,53,Soylent,Electronics,2025-02-06
Security Again,422.21,63,Umbrella,Home,2025-07-12
Put Half,282.43,52,Acme,Toys,2025-05-22
Mission He,340.44,29,Globex,Clothing,2024-09-23
Official Dog,61.58,51,Soylent,Electronics,2024-09-26
Media Media,99.17,54,Umbrella,Clothing,2024-09-09
Response Sense,368.06,80,Umbrella,Home,2024-07-23
Even Include,37.45,16,Globex,Home,2025-03-06
Whole Call,233.15,43,Initech,Clothing,2024-10-18
Believe Chair,339.39,44,Acme,Home,2024-10-14
Would Example,348.71,16,Soylent,Books,2025-06-25
Relationship Space,437.34,92,Initech,Clothing,2025-05-25
Nice Any,382.37,17,Globex,Books,2024-10-14
Night Story,144.96,32,Soylent,Clothing,2025-06-12
World Imagine,76.94,38,Initech,Clothing,2025-06-17
Strong At,71.06,88,Globex,Toys,2025-01-27
Likely Growth,269.63,14,Acme,Books,2025-04-17
Me Although,85.83,53,Soylent,Toys,2024-08-13
It Letter,138.0,61,Umbrella,Home,2024-09-29
Policy Field,364.23,68,Initech,Clothing,2025-06-01
Wear Focus,149.0,90,Initech,Clothing,2025-04-08
Program Have,459.97,94,Umbrella,Toys,2024-11-21
Little Church,474.41,34,Umbrella,Electronics,2025-02-20
Attention Goal,146.37,39,Globex,Clothing,2025-05-17
Wife Arrive,450.86,27,Globex,Toys,2025-02-16
Enter Enter,58.95,61,Acme,Toys,2024-11-28
At Sense,202.7,13,Soylent,Books,2025-06-28
Political Operation,346.01,56,Globex,Books,2025-05-04
Discussion Partner,488.83,24,Umbrella,Clothing,2025-03-26
Eight Old,155.47,1,Globex,Toys,2024-10-01
Use Professor,312.37,64,Globex,Toys,2024-12-08
Hold Car,303.28,92,Umbrella,Electronics,2024-12-07
Suggest Begin,277.99,58,Soylent,Clothing,2024-12-10
Himself Left,9.83,16,Initech,Home,2025-05-01
Affect Good,306.17,46,Initech,Electronics,2024-09-18
Often Reflect,451.91,80,Initech,Toys,2024-11-02
They Natural,165.06,47,Soylent,Clothing,2024-10-30
Pressure Line,243.46,99,Initech,Clothing,2025-01-26
She Site,344.77,48,Acme,Home,2025-03-24
Rest Blood,122.61,1,Initech,Electronics,2025-01-01
Eye Under,45.68,40,Umbrella,Books,2024-11-21
Catch Beyond,247.89,40,Umbrella,Toys,2025-02-11
Must Work,366.84,38,Umbrella,Electronics,2024-11-06
Decade Trip,251.67,85,Umbrella,Books,2025-02-06
Trip Mother,426.92,94,Globex,Clothing,2024-08-11
Nearly Front,243.42,57,Globex,Home,2024-08-21
Interesting Different,136.17,76,Globex,Clothing,2025-02-28
Cultural Interest,430.85,18,Acme,Home,2024-10-13
Ball Purpose,355.61,60,Umbrella,Clothing,2024-12-30
Plan Again,298.09,21,Acme,Books,2025-06-07
Chair Side,56.89,45,Globex,Clothing,2025-01-28
Large Herself,20.54,39,Initech,Books,2024-11-18
Drive Cup,397.41,90,Initech,Toys,2025-06-02
Game Such,459.4,34,Initech,Books,2025-04-10
Affect Agree,38.26,28,Globex,Clothing,2025-01-01
Simple Investment,431.93,63,Soylent,Home,2025-06-21
Effect Ball,352.1,25,Soylent,Clothing,2025-02-21
Need Create,271.49,94,Acme,Clothing,2024-12-26
Place Agent,152.53,49,Soylent,Home,2025-03-13
Practice Time,72.23,90,Soylent,Home,2024-11-26
Agreement Car,47.75,12,Umbrella,Home,2024-10-18
Until Instead,6.9,91,Initech,Toys,2025-05-02
Camera Although,343.98,28,Initech,Home,2024-11-20
Address Police,384.08,74,Initech,Electronics,2025-07-07
Four In,362.84,58,Acme,Electronics,2024-09-24
Employee Enough,336.49,84,Soylent,Toys,2025-02-13
Near Above,28.74,9,Acme,Home,2025-06-06
Student Explain,429.51,54,Soylent,Books,2024-12-18
Contain Fire,59.28,11,Soylent,Electronics,2025-03-01
Employee Enjoy,404.96,94,Acme,Toys,2024-12-24
Parent Arrive,19.63,14,Soylent,Clothing,2024-09-01
Whatever Risk,403.39,100,Umbrella,Home,2025-03-20
Push Amount,103.6,89,Globex,Electronics,2025-05-06
Social Together,329.11,63,Acme,Electronics,2024-09-30
Model Speech,146.24,56,Initech,Clothing,2024-10-05
Alone Difference,236.03,27,Globex,Home,2024-11-19
Relate Cell,179.84,37,Globex,Home,2024-08-04
All A,61.25,51,Initech,Clothing,2025-04-04
Along Nature,92.72,35,Umbrella,Books,2024-12-09
Pass Room,160.74,33,Umbrella,Toys,2025-01-19
Power Each,225.76,59,Umbrella,Books,2025-02-01
Ten Voice,62.98,87,Initech,Books,2024-10-14
Macbook Air,12000,5,Apple,Electronic,2025-07-23
Macbook Air,12000,5,Apple,Electronic,2025-07-23
Macbook Air,12000,5,Apple,Electronic,2025-07-23
iPhone 15 Pro,22000,5,Apple,Electronic,2025-07-27 16:44:57
